batch,loss,ACC
1,0.7265252470970154,0.0958333333333333
54,0.30122509598731995,0.9083333333333334
107,0.4062638282775879,0.8916666666666668
160,0.22103245556354523,0.9083333333333332
213,0.1686774641275406,0.9416666666666664
266,0.1652822047472,0.8374999999999997
319,0.1965235471725464,0.9499999999999998
0,<<epoch || averaged loss>>,2.1855298429727554
1,0.11265742778778076,0.9583333333333334
54,0.2402571588754654,0.9541666666666664
107,0.32319656014442444,0.9666666666666666
160,0.09689567238092422,0.9500000000000002
213,0.06612984091043472,0.9249999999999998
266,0.22303692996501923,0.9791666666666667
319,0.1814395934343338,0.8958333333333333
1,<<epoch || averaged loss>>,1.2436131834983826
1,0.062353938817977905,0.8833333333333332
54,0.043574392795562744,0.9499999999999998
107,0.03466598317027092,0.9666666666666666
160,0.023238062858581543,0.9458333333333334
213,0.5539723038673401,0.9749999999999999
266,0.13534018397331238,0.9458333333333335
319,0.6432583928108215,0.8416666666666665
2,<<epoch || averaged loss>>,1.4964032582938671
1,0.359719842672348,0.8708333333333332
54,0.019068757072091103,0.9375000000000002
107,0.0041469731368124485,0.9625000000000001
160,0.012975931167602539,0.9625
213,0.0065094116143882275,0.9333333333333332
266,0.2681480050086975,0.9541666666666668
319,0.007459878921508789,0.9666666666666666
3,<<epoch || averaged loss>>,0.6780287995934486
1,0.003197272541001439,0.9625
54,0.03990503028035164,0.9708333333333334
107,0.029162287712097168,0.5250000000000001
160,0.014289100654423237,0.9458333333333332
213,0.002942323684692383,0.9625
266,0.003976901527494192,0.925
319,0.06654252856969833,0.9499999999999998
4,<<epoch || averaged loss>>,0.1600154449697584
1,0.007322072982788086,0.9333333333333332
54,0.012213349342346191,0.9749999999999999
107,0.037571489810943604,0.9583333333333334
160,0.015555611811578274,0.9458333333333335
213,0.003776629688218236,0.9250000000000002
266,0.04957616329193115,0.95
319,0.062080543488264084,0.9125
5,<<epoch || averaged loss>>,0.18809586041606963
1,0.03308109566569328,0.9083333333333334
54,0.0124981002882123,0.975
107,0.002727429149672389,0.9791666666666666
160,0.0017541249981150031,0.9875
213,0.0010058084735646844,0.9749999999999999
266,0.004724264144897461,0.9166666666666664
319,0.002220233203843236,0.9666666666666666
6,<<epoch || averaged loss>>,0.058011055923998356
1,0.0024144649505615234,0.9541666666666668
54,0.23507416248321533,0.9625000000000001
107,0.006227413658052683,0.5916666666666668
160,0.007561842445284128,0.9625
213,0.0023191769141703844,0.9666666666666666
266,0.003713389625772834,0.9583333333333333
319,0.0031585693359375,0.9666666666666666
7,<<epoch || averaged loss>>,0.2604690194129944
1,0.0022220611572265625,0.9708333333333332
54,0.007060186937451363,0.9666666666666668
107,0.0010395845165476203,0.975
160,0.002474345965310931,0.9708333333333332
213,0.008281707763671875,0.9708333333333332
266,0.03382166102528572,0.9416666666666667
319,0.3196953535079956,0.95
8,<<epoch || averaged loss>>,0.3745949008734897
1,0.04234629124403,0.975
54,0.0021088123321533203,0.9708333333333332
107,0.0010964075336232781,0.9708333333333332
160,0.00254281354136765,0.9583333333333334
213,0.003372112987563014,0.95
266,0.10182324796915054,0.9791666666666667
319,0.0008945465087890625,0.9666666666666666
9,<<epoch || averaged loss>>,0.15418423211667687
1,0.004008451942354441,0.975
54,0.10254913568496704,0.9624999999999998
107,0.008877933025360107,0.9708333333333332
160,0.00964780617505312,0.9666666666666668
213,0.0007575517520308495,0.9708333333333334
266,0.00826454721391201,0.9791666666666666
319,0.00023126602172851562,0.9791666666666666
10,<<epoch || averaged loss>>,0.13433669181540608
1,0.0003398259577807039,0.9666666666666666
54,0.00016800563025753945,0.9833333333333336
107,0.0007245540618896484,0.9625
160,0.00034387907362543046,0.9708333333333334
213,0.00027736029005609453,0.9583333333333334
266,0.06427822262048721,0.9083333333333335
319,0.0019197463989257812,0.9708333333333332
11,<<epoch || averaged loss>>,0.06805159403302241
1,0.002869686111807823,0.975
54,0.00036247572279535234,0.9541666666666668
107,0.02707195281982422,0.95
160,0.004922032356262207,0.9333333333333333
213,0.003185272216796875,0.9624999999999998
266,0.0015194416046142578,0.9666666666666668
319,0.004936853889375925,0.9541666666666668
12,<<epoch || averaged loss>>,0.04486771472147666
1,0.0024127960205078125,0.9583333333333334
54,0.001347144483588636,0.9666666666666668
107,0.0005533695220947266,0.9708333333333334
160,0.0006902406457811594,0.9708333333333334
213,0.0006427764892578125,0.9833333333333334
266,0.00024580955505371094,0.9749999999999999
319,0.01106505561619997,0.9624999999999997
13,<<epoch || averaged loss>>,0.016957192332483828
1,0.00033593177795410156,0.9791666666666667
54,0.0002464408753439784,0.9791666666666666
107,0.0001010894775390625,0.975
160,0.00017412503075320274,0.9833333333333332
213,0.00012461344886105508,0.9750000000000002
266,0.0005644957418553531,0.9708333333333335
319,0.0015147527446970344,0.9416666666666668
14,<<epoch || averaged loss>>,0.0030614490970037878
1,0.0012296835193410516,0.9333333333333333
54,0.0011288324603810906,0.9708333333333332
107,0.00030819574021734297,0.9666666666666666
160,0.022792736068367958,0.7458333333333331
213,0.0023326126392930746,0.9625000000000001
266,0.004901011940091848,0.9124999999999999
319,0.0025658560916781425,0.9375
15,<<epoch || averaged loss>>,0.03525892845937051
1,0.0005772908334620297,0.9416666666666668
54,0.001863438985310495,0.9708333333333334
107,0.00042319297790527344,0.9583333333333334
160,0.03153922036290169,0.9625
213,0.0026341278571635485,0.975
266,0.0044591426849365234,0.9291666666666665
319,0.004238446708768606,0.9708333333333334
16,<<epoch || averaged loss>>,0.045734860410448164
1,0.0029778480529785156,0.9625
54,0.00047365823411382735,0.9875
